001 棉悠悠 Lamball
092B 格鲁力斯 Warsect-Terra
093 云海鹿 Fenglope
093B 雷隐鹿 Fenglope-Lux
094 夜幕魔蝠 Felbat
095 天羽龙 Quivern
095B 翠羽龙 Quivern-Botan
096 焰煌 Blazamut
096B 殁殃 Blazamut-Ryu
097 雷冥鸟 Helzephyr
097B 雷鸣鸟 Helzephyr-Lux
098 魔渊龙 Astegon
099 冥铠蝎 Menasting
099B 金铠蝎 Menasting-Terra
100 阿努比斯 Anubis
101 覆海龙 Jormuntide
101B 腾炎龙 Jormuntide-Ignis
102 朱雀 Suzaku
102B 清雀 Suzaku-Aqua
103 暴电熊 Grizzbolt
104 百合女王 Lyleen
104B 黑月女王 Lyleen-Noct
105 荷鲁斯 Faleris
105B 伊西斯 Faleris-Aqua
106 波鲁杰克斯 Orserk
107 异构格里芬 Shadowbeak
108 圣光骑士 Paladius
109 混沌骑士 Necromus
110 唤冬兽 Frostallion
110B 唤夜兽 Frostallion-Noct
111 空涡龙 Jetragon
112 贝菈诺娃 Bellanoir
112B 贝菈露洁 Bellanoir-Libero
113 辉月伊 Selyne
114 武道蛙 Croajiro
115 春彩娘 Lullu
116 菇咚 Shroomer
116B 菇波 Shroomer-Noct
117 球犰 Kikit
118 恐炬灵 Sootseer
119 蛊刺妖 Prixter
120 泰锋 Knocklem
121 八云犬 Yakumo
122 汪宗师 Dogen
123 战冠雀 Dazemu
124 旺财 Mimog
125 杰诺贝达 Xenovader
126 杰诺路达 Xenogard
127 杰诺多兰 Xenolord
128 魅爱莉 Nitemary
129 夜冥驹 Starryon
130 艾基鲁迦 Silvegis
131 墨丸 Smokie
132 净世鹿 Celesdir
133 面惧 Omascul
134 幽恋娜 Splatterina
135 桃蛛娘 Tarantriss
136 驭雷马 Azurmane
137 霜牙王 Bastigor
138 梅莉姆 Prunelia
139 妮瞅莎 Nyafia
140 金驰兽 Gildane
